epoch,lr,train_loss,val_loss,val_top1,val_top5
1,0.0003,4.745739364907855,3.4637653702183773,0.31,0.685
2,0.0002997049959000266,3.277450450829097,2.5402953248274955,0.5283333333333333,0.86
3,0.00029882114784651444,2.613459635348547,2.1671888263602006,0.615,0.9
4,0.00029735194398393893,2.269988713519914,1.963745732056467,0.665,0.925
5,0.0002953031825887303,2.0539191720031558,1.88405274090014,0.705,0.9416666666666667
6,0.0002926829491861254,1.8833293808358056,1.809154843029223,0.71,0.9466666666666667
7,0.00028950158464029354,1.7555654091494424,1.7887296802119206,0.7066666666666667,0.94
8,0.00028577164434366993,1.682609880254382,1.7633398143868697,0.73,0.945
9,0.00028150784866655756,1.6016634794927778,1.7553141932738454,0.73,0.9483333333333334
10,0.00027672702486255125,1.5550017420734679,1.7412447552931936,0.745,0.9466666666666667
11,0.0002714480406590546,1.4694612473249435,1.7264166756680137,0.74,0.9366666666666666
12,0.00026569172979498044,1.4405253394728614,1.708785006874486,0.7466666666666667,0.9416666666666667
13,0.000259480809799501,1.3972143743719374,1.7190492592359845,0.7433333333333333,0.9516666666666667
14,0.00025283979233633894,1.3515739675079073,1.694435201193157,0.7466666666666667,0.9533333333333334
15,0.0002457948864674291,1.3404577700864702,1.7314424075578387,0.745,0.9466666666666667
16,0.00023837389521772474,1.2912784183309192,1.7061378077456826,0.76,0.94
17,0.00023060610584935996,1.2734176381712867,1.7186502971147235,0.755,0.9416666666666667
18,0.0002225221742782064,1.2657234902892793,1.6981040678526227,0.775,0.9516666666666667
19,0.00021415400408897832,1.2468274633089702,1.7018947852285284,0.7683333333333333,0.945
20,0.00020553462062635933,1.2110880201771146,1.7107949005930048,0.76,0.9466666666666667
21,0.0001966980406590546,1.1957898771479016,1.7300643920898438,0.7533333333333333,0.9416666666666667
22,0.00018767913813114574,1.172951415890739,1.6842815185848035,0.7633333333333333,0.9466666666666667
23,0.00017851350653056583,1.183474077355294,1.6565423639197099,0.7716666666666666,0.9483333333333334
24,0.0001692373184178635,1.1592874814357077,1.681303526225843,0.7683333333333333,0.945
25,0.00015988718266963235,1.1391685016098476,1.7097357135069997,0.7566666666666667,0.9416666666666667
26,0.0001505,1.1395331372817357,1.7215355509205867,0.7616666666666667,0.9433333333333334
